6;09:40;09:40;66;09:41;09:41;107;09:43;09:43;123;09:45;09:45;2;09:46;09:46;94;09:47;09:47;111;09:48;09:48;5;09:49;09:49;1;09:50;09:50;61;09:52;09:52;37;09:54;09:54;76;09:56;09:56;71;09:59;09:59;73;10:00;10:00;72;10:01;10:01;83;10:03;10:03;33;10:04;10:04;31;10:05;10:05;32;10:06;10:06;30;10:07;10:07;116;10:09;10:09;117;10:10;-1;;;;;;;;;;;;
26;09:50;09:50;27;09:51;09:51;29;09:52;09:52;115;09:54;09:54;116;09:55;09:55;30;09:57;09:57;32;09:58;09:58;31;09:59;09:59;33;10:00;10:00;83;10:01;10:01;72;10:03;10:03;73;10:04;10:04;71;10:05;10:05;76;10:08;10:08;37;10:10;10:10;61;10:12;10:12;1;10:14;10:14;5;10:15;10:15;111;10:17;10:17;95;10:18;10:18;2;10:19;10:19;123;10:21;10:21;107;10:23;10:23;66;10:25;10:25;78;10:26;-1;;;
6;10:10;10:10;66;10:11;10:11;107;10:13;10:13;123;10:15;10:15;2;10:16;10:16;94;10:17;10:17;111;10:18;10:18;5;10:19;10:19;1;10:20;10:20;61;10:22;10:22;37;10:24;10:24;76;10:26;10:26;71;10:29;10:29;73;10:30;10:30;72;10:31;10:31;83;10:33;10:33;33;10:34;10:34;31;10:35;10:35;32;10:36;10:36;30;10:37;10:37;116;10:39;10:39;115;10:40;10:40;29;10:42;10:42;27;10:43;10:43;26;10:44;-1;;;
117;10:24;10:24;116;10:25;10:25;30;10:27;10:27;32;10:28;10:28;31;10:29;10:29;33;10:30;10:30;83;10:31;10:31;72;10:33;10:33;73;10:34;10:34;71;10:35;10:35;76;10:38;10:38;37;10:40;10:40;61;10:42;10:42;1;10:44;10:44;5;10:45;10:45;111;10:47;10:47;95;10:48;10:48;2;10:49;10:49;123;10:51;10:51;107;10:53;10:53;66;10:55;10:55;78;10:56;-1;;;;;;;;;;;;
6;10:40;10:40;66;10:41;10:41;107;10:43;10:43;123;10:45;10:45;2;10:46;10:46;94;10:47;10:47;111;10:48;10:48;5;10:49;10:49;1;10:50;10:50;61;10:52;10:52;37;10:54;10:54;76;10:56;10:56;71;10:59;10:59;73;11:00;11:00;72;11:01;11:01;83;11:03;11:03;33;11:04;11:04;31;11:05;11:05;32;11:06;11:06;30;11:07;11:07;116;11:09;11:09;117;11:10;-1;;;;;;;;;;;;
26;10:50;10:50;27;10:51;10:51;29;10:52;10:52;115;10:54;10:54;116;10:55;10:55;30;10:57;10:57;32;10:58;10:58;31;10:59;10:59;33;11:00;11:00;83;11:01;11:01;72;11:03;11:03;73;11:04;11:04;71;11:05;11:05;76;11:08;11:08;37;11:10;11:10;61;11:12;11:12;1;11:14;11:14;5;11:15;11:15;111;11:17;11:17;95;11:18;11:18;2;11:19;11:19;123;11:21;11:21;107;11:23;11:23;66;11:25;11:25;78;11:26;-1;;;
6;11:10;11:10;66;11:11;11:11;107;11:13;11:13;123;11:15;11:15;2;11:16;11:16;94;11:17;11:17;111;11:18;11:18;5;11:19;11:19;1;11:20;11:20;61;11:22;11:22;37;11:24;11:24;76;11:26;11:26;71;11:29;11:29;73;11:30;11:30;72;11:31;11:31;83;11:33;11:33;33;11:34;11:34;31;11:35;11:35;32;11:36;11:36;30;11:37;11:37;116;11:39;11:39;115;11:40;11:40;29;11:42;11:42;27;11:43;11:43;26;11:44;-1;;;
117;11:24;11:24;116;11:25;11:25;30;11:27;11:27;32;11:28;11:28;31;11:29;11:29;33;11:30;11:30;83;11:31;11:31;72;11:33;11:33;73;11:34;11:34;71;11:35;11:35;76;11:38;11:38;37;11:40;11:40;61;11:42;11:42;1;11:44;11:44;5;11:45;11:45;111;11:47;11:47;95;11:48;11:48;2;11:49;11:49;123;11:51;11:51;107;11:53;11:53;66;11:55;11:55;78;11:56;-1;;;;;;;;;;;;
6;11:40;11:40;66;11:41;11:41;107;11:43;11:43;123;11:45;11:45;2;11:46;11:46;94;11:47;11:47;111;11:48;11:48;5;11:49;11:49;1;11:50;11:50;61;11:52;11:52;37;11:54;11:54;76;11:56;11:56;71;11:59;11:59;73;12:00;12:00;72;12:01;12:01;83;12:03;12:03;33;12:04;12:04;31;12:05;12:05;32;12:06;12:06;30;12:07;12:07;116;12:09;12:09;117;12:10;-1;;;;;;;;;;;;
26;11:48;11:48;28;11:50;11:50;27;11:51;11:51;29;11:52;11:52;115;11:54;11:54;116;11:55;11:55;30;11:57;11:57;32;11:58;11:58;31;11:59;11:59;33;12:00;12:00;83;12:01;12:01;72;12:03;12:03;73;12:04;12:04;71;12:05;12:05;76;12:08;12:08;37;12:10;12:10;61;12:12;12:12;1;12:14;12:14;5;12:15;12:15;111;12:17;12:17;95;12:18;12:18;2;12:19;12:19;123;12:21;12:21;107;12:23;12:23;66;12:25;12:25;78;12:26;-1
