59 St;105;40.641362000000015;-74.017881;UNKNOWN;UNKNOWN
Gates Av;106;40.689629999999994;-73.92227;UNKNOWN;UNKNOWN
Van Siclen Av;107;40.672709999999995;-73.890358;UNKNOWN;UNKNOWN
Avenue U;108;40.59747300000001;-73.979137;UNKNOWN;UNKNOWN
Freeman St;109;40.829993;-73.891865;UNKNOWN;UNKNOWN
Bay Ridge Av;110;40.63496700000002;-74.023377;UNKNOWN;UNKNOWN
86 St;111;40.779492000000005;-73.955589;UNKNOWN;UNKNOWN
Shepherd Av;112;40.67412999999999;-73.88075;UNKNOWN;UNKNOWN
53 St;113;40.64506900000001;-74.014034;UNKNOWN;UNKNOWN
Jamaica Center - Parsons/Archer;114;40.702147;-73.801109;UNKNOWN;UNKNOWN
Kosciusko St;115;40.693342;-73.928814;UNKNOWN;UNKNOWN
Simpson St;116;40.824073;-73.893064;UNKNOWN;UNKNOWN
96 St;117;40.785672000000005;-73.95107;UNKNOWN;UNKNOWN
Broadway Jct;118;40.67833400000001;-73.905316;UNKNOWN;UNKNOWN
14 St;119;40.740893;-74.00169;UNKNOWN;UNKNOWN
Forest Hills - 71 Av;120;40.72169099999999;-73.844521;UNKNOWN;UNKNOWN
Fort Hamilton Pkwy;121;40.64091400000001;-73.994304;UNKNOWN;UNKNOWN
Hewes St;122;40.70687000000001;-73.953431;UNKNOWN;UNKNOWN
Nassau Av;123;40.724635000000006;-73.951277;UNKNOWN;UNKNOWN
67 Av;124;40.726522999999986;-73.852719;UNKNOWN;UNKNOWN
Intervale Av;125;40.822181;-73.896736;UNKNOWN;UNKNOWN
Beach 36 St;126;40.59539799999999;-73.768175;UNKNOWN;UNKNOWN
Morris Park;127;40.854364000000004;-73.860495;UNKNOWN;UNKNOWN
103 St;128;40.79059999999998;-73.947478;UNKNOWN;UNKNOWN
Gun Hill Rd;129;40.86952600000001;-73.846384;UNKNOWN;UNKNOWN
Pelham Pkwy;130;40.85898499999999;-73.855359;UNKNOWN;UNKNOWN
Jamaica - Van Wyck;131;40.70256599999999;-73.816859;UNKNOWN;UNKNOWN
Liberty Av;132;40.674542;-73.896548;UNKNOWN;UNKNOWN
W 4 St;133;40.732338;-74.000495;UNKNOWN;UNKNOWN
Eastchester - Dyre Av;134;40.888300000000015;-73.830834;UNKNOWN;UNKNOWN
Baychester Av;135;40.87866300000002;-73.838591;UNKNOWN;UNKNOWN
9 Av;136;40.64629200000002;-73.994324;UNKNOWN;UNKNOWN
Prospect Av;137;40.81958499999999;-73.90177;UNKNOWN;UNKNOWN
